runID,mode,seedUsed,leadTime
96662,FLOW,1,293.152138
96662,FLOW,1,325.800932
96662,FLOW,1,330.283030
96662,FLOW,1,340.153258
96662,FLOW,1,389.957865
96662,FLOW,1,466.178897
96662,FLOW,1,519.123287
96662,FLOW,1,516.397215
96662,FLOW,1,525.618586
96662,FLOW,1,534.208462
96662,FLOW,1,566.165172
96662,FLOW,1,566.728688
96662,FLOW,1,582.289506
96662,FLOW,1,588.982887
96662,FLOW,1,604.201823
96662,FLOW,1,607.497956
96662,FLOW,1,629.789093
96662,FLOW,1,639.542132
96662,FLOW,1,647.914067
96662,FLOW,1,658.063081
96662,FLOW,1,684.303173
96662,FLOW,1,694.185224
96662,FLOW,1,703.262696
96662,FLOW,1,737.785558
96662,FLOW,1,733.416097
96662,FLOW,1,781.016229
96662,FLOW,1,802.808593
96662,FLOW,1,824.025956
96662,FLOW,1,823.245649
96662,FLOW,1,843.732432
96662,FLOW,1,841.776093
96662,FLOW,1,852.735762
96662,FLOW,1,860.804816
96662,FLOW,1,885.624698
96662,FLOW,1,880.322594
96662,FLOW,1,900.726248
96662,FLOW,1,916.355020
96662,FLOW,1,927.521893
96662,FLOW,1,948.894973
96662,FLOW,1,947.122803
96662,FLOW,1,956.352456
