runID,mode,seedUsed,produced,good,bad,avgLead,avgTard,energy_kWh,co2_kg,energyPerPart_kWh,co2PerPart_kg,revenue_total,cost_total,tardPenalty_total,profit,cost_energy_calc,cost_material_calc,cost_labor_calc,cost_total_calc
634532,FLOW,1,42,42,0,685.6067,20.3307,96.456670,28.937001,2.296587,0.688976,3360.0000,444.1142,42.6944,2873.1914,24.1142,420.0000,0.0000,444.1142
639031,FLOW,1,53,53,0,631.6885,16.3718,125.482491,37.644747,2.367594,0.710278,4240.0000,561.3706,43.3853,3635.2441,31.3706,530.0000,0.0000,561.3706
641283,FLOW,1,36,36,0,638.0649,10.3508,84.271874,25.281562,2.340885,0.702266,2880.0000,381.0680,18.6315,2480.3006,21.0680,360.0000,0.0000,381.0680
643577,FLOW,1,50,50,0,618.4321,9.9568,116.498287,34.949486,2.329966,0.698990,4000.0000,529.1246,24.8920,3445.9834,29.1246,500.0000,0.0000,529.1246
645446,FLOW,1,40,40,0,712.4849,20.4869,93.531041,28.059312,2.338276,0.701483,3200.0000,423.3828,40.9738,2735.6435,23.3828,400.0000,0.0000,423.3828
647032,FLOW,1,52,52,0,641.5120,11.6478,119.302657,35.790797,2.294282,0.688285,4160.0000,549.8257,30.2842,3579.8902,29.8257,520.0000,0.0000,549.8257
648527,FLOW,1,52,52,0,649.2286,10.5071,123.897044,37.169113,2.382635,0.714791,4160.0000,550.9743,27.3184,3581.7073,30.9743,520.0000,0.0000,550.9743
649713,FLOW,1,44,44,0,627.5082,14.4639,113.374380,34.012314,2.576690,0.773007,3520.0000,468.3436,31.8206,3019.8358,28.3436,440.0000,0.0000,468.3436
651659,FLOW,1,52,52,0,624.6695,11.2654,120.035841,36.010752,2.308382,0.692514,4160.0000,550.0090,29.2901,3580.7010,30.0090,520.0000,0.0000,550.0090
652796,FLOW,1,48,48,0,618.0287,11.4922,110.231792,33.069538,2.296496,0.688949,3840.0000,507.5579,27.5812,3304.8609,27.5579,480.0000,0.0000,507.5579
653853,FLOW,1,42,42,0,656.1868,16.4571,102.926898,30.878069,2.450640,0.735192,3360.0000,445.7317,34.5600,2879.7083,25.7317,420.0000,0.0000,445.7317
654742,FLOW,1,34,34,0,679.2748,13.3668,76.395450,22.918635,2.246925,0.674077,2720.0000,359.0989,22.7236,2338.1776,19.0989,340.0000,0.0000,359.0989
655624,FLOW,1,52,52,0,642.0184,12.3460,120.096041,36.028812,2.309539,0.692862,4160.0000,550.0240,32.0996,3577.8764,30.0240,520.0000,0.0000,550.0240
656809,FLOW,1,27,27,0,648.4735,11.7115,71.851237,21.555371,2.661157,0.798347,2160.0000,287.9628,15.8105,1856.2267,17.9628,270.0000,0.0000,287.9628
657718,FLOW,1,35,35,0,592.1171,13.0752,73.244832,21.973450,2.092709,0.627813,2800.0000,368.3112,22.8816,2408.8072,18.3112,350.0000,0.0000,368.3112
658711,FLOW,1,40,40,0,649.3286,11.7912,97.511950,29.253585,2.437799,0.731340,3200.0000,424.3780,23.5824,2752.0397,24.3780,400.0000,0.0000,424.3780
659590,FLOW,1,47,47,0,675.0405,16.1132,108.803657,32.641097,2.314971,0.694491,3760.0000,497.2009,37.8660,3224.9331,27.2009,470.0000,0.0000,497.2009
660508,FLOW,1,43,43,0,644.7377,12.0999,106.019075,31.805723,2.465560,0.739668,3440.0000,456.5048,26.0147,2957.4805,26.5048,430.0000,0.0000,456.5048
661483,FLOW,1,51,51,0,634.7271,14.2873,117.595856,35.278757,2.305801,0.691740,4080.0000,539.3990,36.4326,3504.1684,29.3990,510.0000,0.0000,539.3990
662430,FLOW,1,42,42,0,681.5601,16.0763,102.928962,30.878689,2.450690,0.735207,3360.0000,445.7322,33.7602,2880.5076,25.7322,420.0000,0.0000,445.7322
663338,FLOW,1,35,35,0,669.4738,21.5724,83.159961,24.947988,2.375999,0.712800,2800.0000,370.7900,37.7517,2391.4583,20.7900,350.0000,0.0000,370.7900
664111,FLOW,1,45,45,0,682.3799,14.3383,103.740516,31.122155,2.305345,0.691603,3600.0000,475.9351,32.2612,3091.8037,25.9351,450.0000,0.0000,475.9351
664810,FLOW,1,54,54,0,652.0449,14.1675,121.241991,36.372597,2.245222,0.673567,4320.0000,570.3105,38.2523,3711.4372,30.3105,540.0000,0.0000,570.3105
665526,FLOW,1,44,44,0,612.5133,11.6074,103.540392,31.062118,2.353191,0.705957,3520.0000,465.8851,25.5364,3028.5785,25.8851,440.0000,0.0000,465.8851
666198,FLOW,1,47,47,0,681.6873,15.5433,108.460091,32.538027,2.307662,0.692298,3760.0000,497.1150,36.5268,3226.3582,27.1150,470.0000,0.0000,497.1150
666885,FLOW,1,56,56,0,615.0377,12.3628,122.604959,36.781488,2.189374,0.656812,4480.0000,590.6512,34.6159,3854.7328,30.6512,560.0000,0.0000,590.6512
667565,FLOW,1,53,53,0,650.6369,12.8736,115.210346,34.563104,2.173780,0.652134,4240.0000,558.8026,34.1151,3647.0824,28.8026,530.0000,0.0000,558.8026
668223,FLOW,1,47,47,0,615.6996,10.2112,113.201733,33.960520,2.408548,0.722564,3760.0000,498.3004,23.9962,3237.7034,28.3004,470.0000,0.0000,498.3004
668912,FLOW,1,44,44,0,633.9853,13.4401,103.113651,30.934095,2.343492,0.703048,3520.0000,465.7784,29.5682,3024.6534,25.7784,440.0000,0.0000,465.7784
669582,FLOW,1,46,46,0,621.1624,12.0911,100.901287,30.270386,2.193506,0.658052,3680.0000,485.2253,27.8095,3166.9651,25.2253,460.0000,0.0000,485.2253
